State,Country,Latitude,Longtitude,Confirmed,Deaths,Recovered,Active,Fatality Ratio
Utah,US,37.85447192,-111.4418764,3963,29,0,3934,0.731768862
Utah,US,40.86688146,-110.9535882,930,1,0,929,0.107526882
Utah,US,40.44862644,-113.1295715,797,0,0,797,0
Utah,US,40.12491499,-109.5174415,226,2,0,224,0.884955752
Utah,US,,,0,0,0,0,
Utah,US,40.1166722,-111.6657662,14746,53,0,14693,0.359419504
Utah,US,40.33110236,-111.1691419,692,7,0,685,1.011560694
Utah,US,41.27116049,-111.9145117,3934,29,0,3905,0.737163193
Vermont,US,44.03217337,-73.14130877,82,2,0,80,2.43902439
Vermont,US,43.03519828,-73.09048868,108,1,0,107,0.925925926
Vermont,US,44.46548598,-72.10314651,34,0,0,34,0
Vermont,US,44.46322849,-73.08359212,827,39,0,788,4.715840387
Vermont,US,44.72736416,-71.73579864,6,0,0,6,0
Vermont,US,44.85627605,-72.91249563,123,7,0,116,5.691056911
Vermont,US,44.7975824,-73.29679772,14,0,0,14,0
Vermont,US,44.60353043,-72.64356694,51,1,0,50,1.960784314
Vermont,US,44.00470222,-72.37640104,22,0,0,22,0
Vermont,US,44.82964024,-72.24562697,21,0,0,21,0
Vermont,US,43.57723578,-73.03741676,128,1,0,127,0.78125
Vermont,US,,,8,0,0,8,0
Vermont,US,44.27343241,-72.61604978,76,2,0,74,2.631578947
Vermont,US,42.986982,-72.71268875,123,3,0,120,2.43902439
Vermont,US,43.58010937,-72.58595157,83,2,0,81,2.409638554
Virgin Islands,US,18.3358,-64.8963,1257,19,0,1238,1.511535402
Virginia,US,37.76707161,-75.63234615,1167,19,0,1148,1.628106255
Virginia,US,38.02080697,-78.55481085,1158,20,0,1138,1.727115717
Virginia,US,38.814003,-77.08183073,3671,67,0,3604,1.825115772
Virginia,US,37.78636074,-80.00222498,78,4,0,74,5.128205128
Virginia,US,37.34081025,-77.98584649,121,4,0,117,3.305785124
Virginia,US,37.60308293,-79.14548696,367,4,0,363,1.089918256
Virginia,US,37.37569884,-78.81340003,200,2,0,198,1
Virginia,US,38.8767675,-77.10139853,3819,146,0,3673,3.822990312
Virginia,US,38.16404586,-79.12461614,454,7,0,447,1.54185022
Virginia,US,38.05852573,-79.73912095,6,1,0,5,16.66666667
Virginia,US,37.3080028,-79.5281964,689,12,0,677,1.741654572
Virginia,US,37.13128068,-81.13599391,64,4,0,60,6.25
Virginia,US,37.55531756,-79.80982182,283,10,0,273,3.533568905
Virginia,US,36.6163024,-82.16359122,174,3,0,171,1.724137931
